movie,sentence,review_rating,sentiment_category,bias_label,confidence
tt12042730,Don't understand why everyone is praising this movie.,1,negative,Disposition Bias,0.8647668957710266
tt12042730,It felt like something made for 8-15-year-olds.,1,negative,Representation Critique,0.8891943693161011
tt12042730,I was literally waiting for it to end.,1,negative,Expectation Bias,0.9333189129829407
tt12042730,"The story was basic, the humor was childish, and overall it felt like a stretched-out SNL skit.",1,negative,Selective Emphasis Bias,0.7639703750610352
tt12042730,Definitely not made for adults.don't understand why everyone is praising this movie.,1,negative,Disposition Bias,0.8300331234931946
tt12042730,It felt like something made for 8-15-year-olds.,1,negative,Representation Critique,0.8891943693161011
tt12042730,I was literally waiting for it to end.,1,negative,Expectation Bias,0.9333189129829407
tt12042730,"The story was basic, the humor was childish, and overall it felt like a stretched-out SNL skit.",1,negative,Selective Emphasis Bias,0.7639703750610352
tt12042730,Definitely not made for adults.,1,negative,Disposition Bias,0.393053263425827
tt12042730,What a disappointment the movie was!,1,negative,Expectation Bias,0.945247232913971
tt12042730,"A pale mix of Interstellar and The Martian, but not grounded in science or facts-more like a children's film.",1,negative,Comparative Lens,0.7058122158050537
tt12042730,What has happened to today's movie audience?,1,negative,Representation Critique,0.6318081617355347
tt12042730,Don't people have higher expectations for filmmaking anymore?,1,negative,Expectation Bias,0.9302849173545837
tt12042730,The music in the film made it even worse.,1,negative,Selective Emphasis Bias,0.9669585227966309
tt12042730,"I almost walked out halfway through, but I thought it had to get better considering the reviews...",1,negative,Expectation Bias,0.9456413984298706
tt12042730,These are 2 hours and 37 minutes of my life that I will never get back.,1,negative,Disposition Bias,0.7258281707763672
tt12042730,"Awful, horrible.",1,negative,Disposition Bias,0.9492486119270325
tt12042730,"I wish it were a B-movie, but it's not even that.",1,negative,Expectation Bias,0.8336895704269409
tt12042730,"Unoriginal, absurd and ridiculous acting and dialogue.",1,negative,Selective Emphasis Bias,0.5688629150390625
tt12042730,Full of terrible jokes.,1,negative,Selective Emphasis Bias,0.6180293560028076
tt12042730,My recommendation: don't watch this movie.The only redeeming features are the acceptable set design and costumes.,1,negative,Selective Emphasis Bias,0.9750171899795532
tt12042730,The special effects are mediocre.I regret that Edward Gosling accepted this challenge.,1,negative,Performance Appraisal,0.43667736649513245
tt12042730,"He's undoubtedly an excellent actor, but he made a whimsical film of dubious artistic merit.",1,negative,Performance Appraisal,0.7568075656890869
tt12042730,"I watched Project Hail Mary at the cinema last night, and honestly, it was not what I expected at all.",1,negative,Expectation Bias,0.9476814270019531
tt12042730,"I went in thinking it would be a serious, intense science fiction movie-something along the lines of Interstellar.",1,negative,Expectation Bias,0.9550889134407043
tt12042730,"Instead, it turned out to be much more lighthearted and comedy-focused than I anticipated.While the movie does have a science fiction setting, the tone felt too playful and humorous for my taste.",1,negative,Expectation Bias,0.9712610840797424
tt12042730,"It didn't really give me that deep, thought-provoking feeling that I usually look for in sci-fi films.",1,negative,Expectation Bias,0.5724203586578369
